Comment,Description,Designator,Footprint,LibRef,Quantity

"C&K Components KSC421G70SHLFS","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 32VDC 1VA 300000Cycle 2.12N SMD T/R","BTN1","PCBComponent_1","CMP-7597bcf2a0aaaa50-3","1"
"10uF","Cap Ceramic 10uF 25V X5R 10% SMD 0805 85°C Embossed T/R","C1, C4","PCB-p4p2p2gnhi9hwenucyw6-1","CMP-5c4a946cea47838d-4","2"
"22uF","0805 22uF 25V X5R 20% multilayer ceramic capacitor","C2, C5","CAPC2013X94X50ML20T25","CMP-ef25233f913230e2-1","2"
"100nF","Ceramic capacitor SMD-0603 100nF 50V X7R# K +-10%, Samsung, RoHS","C3, C6, C7, C9, C10, C11","Samsung CL10B104KB8NNNC-Footprint-1","CMP-1af8d38ac64bc53f-24","6"
"1uF","1uF Ceramic capacitor SMD-0603 1uF 50V X5R# K +-10%, Samsung, RoHS","C8","CAPC1608X90X35LL15T15","CMP-f7023f64287128c5-7","1"
"4.7uF","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0805 4.7uF 35volts X5R 20%","C12","CAPC2013X95X45LL15T25","CMP-8267229-2","1"
"100nF","Capacitor; ECWF, Met Polypropylene Film Cap, Radial, 50V, 10uF, 5%, Blk ST","C13, C14","RESC2013X50X30ML20T20","CMP-e7d62c864ecd3811-3","2"
"Fairchild Semiconductor SS14","DIODE SCHOTTKY 40V 1A SMA","D1","SMB","CMP-814764-5","1"
"VIN TVS","Diode; 30.2 A (Max.); 13.30 V (Min.) @ 1 mA; 5 uA (Max.) @ 12 V; 100 A (Max.)","D2","PCB-9qq8yczch7qbe6np1bha-1","CMP-f10c38c5a08b2ecb-7","1"
"OR-ing Schottky","PMEG4010AESB - 40 V, 1 A low VF MEGA Schottky barrier rectifier","D3","Nexperia PMEG4010AESBYL-Footprint-1","CMP-63ffae44396ebc38-2","1"
"Kingbright APFA3010SEKJ3ZGKQBKC","3.0MMX1.0MM Right Angle SMD Chip Led Lamp","D4","PCB-xa6wagpttn61v02uvygv-1","CMP-91425c46545c4e85-2","1"
"GREEN","2.4 V Green LED 1608 (0603) SMD, Lite-On LTST-C190KGKT","DS1","LTST-C190KGKT","CMP-e1642866a00b3ea3-15","1"
"Bourns MF-PSMF050X-2","FUSE PTC RESETTABLE SMD 0805","F1","PCB-277780-1","CMP-277780-4","1"
"BLM18AG601SN1D","Chip Ferrite Bead for General Use, 600 Ohm, 500 mA, -55 to 125 degC, 1.6 x 0.8 x 0.95 mm SMD, Tape and Reel","FB1","MURA-BLM18-RF-H4-CHIP-2_V","CMP-14419471-5","1"
"Samtec FTSH-105-01-F-DV-K","Conn Unshrouded Header HDR 10 POS 1.27mm Solder ST SMD Automotive Tube","J1","PCB-sbymt8py0jvp2ryn5bcq-1","CMP-51de9854a3aa8e19-9","1"
"TYPE-C-31-M-12","250mA 1 16 Female Type-C SMD USB Connectors ROHS","J2","HRO Electronics TYPE-C-31-M-12-Footprint-1","CMP-a3766f9095887cb1-3","1"
"TE Connectivity 825433-6","Conn Unshrouded Header HDR 6 POS 2.54mm Solder ST Thru-Hole - No Outline","J5","PCB-2xrknp0frdgvb29ud8aa-1","CMP-88ed4362af17572a-9","1"
"Harwin M50-3530242","Prices include import duty and tax. BTB CONN, HEADER, 2POS, 1ROWS, 1.27MM","J6, J7","PCB-kdbzezog7lgzeuckpa59-1","CMP-8a7247a62d3655b5-1","2"
"Molex 0022284100","2.54mm (.100"") Pitch KK® Header, Breakaway, Vertical, 10 Circuits, Tin (Sn) Plating, Mating Pin Length 6.09mm (.240"")","J8","HDR1X10","CMP-4d308488f3b592f7-3","1"
"Samtec TSM-112-01-L-SV","""This surface mount .025” square post terminal strip features single","J9","Samtec TSM-112-01-L-SV-Footprint-1","CMP-86a14eaf92625966-1","1"
"Phoenix Contact 1729128","SERVAL Bornera negra 2 vias","J_EXT","PCB-751788-1","CMP-751788-39","1"
"Amphenol ICC / FCI 68000-103HLF","Conn Unshrouded Header HDR 3 POS 2.54mm Solder ST Top Entry Thru-Hole BergStik® Bulk","JP1, JP2","Hdr_1x3_2.54mm","CMP-8ffa44933221503d-6","2"
"Coilcraft XAL5030-472MEC","Power inductor, shielded, 20% tol, SMT, RoHS, halogen f","L1, L2","PCB-eh2uh0b1ckxc83nsi4qq-1","CMP-6f03a7253721b0c4-1","2"
"P-MOSFET","Power MOSFET, -20 V, -1 A, P-Channel, 3-Pin SOT-23, Pb-Free, Tape and Reel","Q1","ONSC-SOT-23-3-318-08_V","CMP-19304379-2","1"
"4.7k","Res Thick Film 0603 4.7K Ohm 1% 1/10W ±100ppm/°C Molded SMD Paper T/R","R1, R2","Yageo RC0603FR-074K7L-Footprint-1","CMP-e2bf28f8a65d3d78-15","2"
"Yageo RC0603FR-07120RL","Chip Resistor, 120 Ohm, +/- 1%, 100 mW, -55 to 155 degC, 0603 (1608 Metric), RoHS, Tape and Reel","R3, R12","RESC1608X55X25LL10T15","CMP-1900331-5","2"
"1k","YAGEO (PHYCOMP)   RC0603FR-071KL   RESISTOR, THICK FILM, 1K, 0.1W, 1%","R4","R0603_A","CMP-1853278-34","1"
"330","Res Thick Film 0603 330 Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R","R5, R6, R7","RESC1608X55X30LL15T15","CMP-1853593-9","3"
"10k","RES 10K OHM 1% 1/10W 0603","R8","RC0603FR-0710KL-Footprint-1","CMP-c4650f0d5cc11ba2-40","1"
"100k","100 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","R9","YAGEO RC0603FR-07100KL-Footprint-1","CMP-9abf51c576ad4578-32","1"
"10k","Thick Film Resistors - SMD 0402 47ohms 5% Tol","R10, R11","Panasonic ERJ-2GEJ470X-Footprint-1","CMP-3651607-3","2"
"Yageo RC0603FR-07 5K1L","Res Thick Film 1.6 x 0.8 mm 5.1K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R","R15, R16","RESC1608X06N","CMP-cb9401c58a0b1453-1","2"
"TE Connectivity FSM2JSMA","Switch Tactile OFF (ON) SPST Round Button Gull Wing 0.05A 24VDC 1.57N SMD Loose","SW1","PCB-ceqr8z8zluiv0xnbvd9i-1","CMP-5bcd9002db93840a-9","1"
"TestPoint SMD","Test Point; Micro Mini; SMT","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8","Testpoint_With_Via","CMP-0dc8c4c22640d20f-23","8"
"Diodes Inc. AP63203WU-7","AP63203 Series 3.3 V 2 A SMT Fixed Low IQ Synchronous Buck - TSOT-26","U1, U2","DIOD-DMMT5401-SOT-23-6_N","CMP-0ef5c227cacdd132-7","2"
